event_id,voice_id,role,parent_event_id,source_index,source_label,symbol,onset_quarter,duration_quarter,midi,pitch_class,velocity,pan,timbre,expected_pc,row_position,row_form,status,mapping_rule,codec_block,is_codec_carrier,gate_ratio,articulation,cc1_modulation,cc10_pan,cc74_brightness,cc91_reverb,cc93_chorus,brightness,reverb_mix,spatial_width,hydropathy,charge,contact_degree,value,uncertainty,relative_sasa,surface_wetness,backbone_rigidity,b_factor_normalized,sidechain_mass_normalized
10,V1_melody,foreground_melody,,24,25164455,METHYLATION_BETA,2.0,1.25,60,0,77,-0.12,viola,0,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.9611,0.0,0.5,0.9611,0.0,0.0,0.0,0.0,0.0,0.0
11,V6_harp_accents,structural_accent,10,24,25164455,METHYLATION_BETA,2.0,0.25,72,0,72,0.08,orchestral_harp,0,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,69,,,,0.72,0.15,0.3,0.9611,0.0,0.5,0.9611,0.0,0.0,0.0,0.0,0.0,0.0
12,V6_harp_accents,structural_accent,10,24,25164455,METHYLATION_BETA,2.25,0.25,75,3,67,0.26,orchestral_harp,3,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,80,,,,0.72,0.15,0.3,0.9611,0.0,0.5,0.9611,0.0,0.0,0.0,0.0,0.0,0.0
13,V2_counterpoint,derived_counterpoint,10,24,25164455,METHYLATION_BETA,2.5,1.5,75,3,65,0.25,violin,3,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.9611,0.0,0.5,0.9611,0.0,0.0,0.0,0.0,0.0,0.0
14,V6_harp_accents,structural_accent,10,24,25164455,METHYLATION_BETA,2.5,0.25,79,7,62,0.44,orchestral_harp,7,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,91,,,,0.72,0.15,0.3,0.9611,0.0,0.5,0.9611,0.0,0.0,0.0,0.0,0.0,0.0
15,V1_melody,foreground_melody,,32,32529881,METHYLATION_BETA,3.25,1.0,69,9,72,-0.12,viola,9,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.7062,0.0,0.5,0.7062,0.0,0.0,0.0,0.0,0.0,0.0
16,V1_melody,foreground_melody,,40,45081030,METHYLATION_BETA,4.25,1.0,69,9,73,-0.12,viola,9,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.7234,0.0,0.5,0.7234,0.0,0.0,0.0,0.0,0.0,0.0
17,V2_counterpoint,derived_counterpoint,16,40,45081030,METHYLATION_BETA,4.75,1.25,65,5,61,0.25,violin,5,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.7234,0.0,0.5,0.7234,0.0,0.0,0.0,0.0,0.0,0.0
18,V1_melody,foreground_melody,,48,55126145,METHYLATION_BETA,5.25,1.0,69,9,71,-0.12,viola,9,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.6609,0.0,0.5,0.6609,0.0,0.0,0.0,0.0,0.0,0.0
19,V1_melody,foreground_melody,,56,92725066,METHYLATION_BETA,6.25,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0507,0.0,0.5,0.0507,0.0,0.0,0.0,0.0,0.0,0.0
20,V1_melody,foreground_melody,,64,110254763,METHYLATION_BETA,6.75,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0383,0.0,0.5,0.0383,0.0,0.0,0.0,0.0,0.0,0.0
21,V2_counterpoint,derived_counterpoint,19,56,92725066,METHYLATION_BETA,6.75,0.75,77,5,48,0.25,violin,5,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0507,0.0,0.5,0.0507,0.0,0.0,0.0,0.0,0.0,0.0
22,V3_bass,structural_bass,20,64,110254763,METHYLATION_BETA,6.75,5.5,45,9,44,-0.18,cello,9,,,retained,序列/样本分组边界→持续低音；组值决定主音或属音,,False,0.9,normal,,52,,,,0.72,0.15,0.3,0.0383,0.0,0.5,0.0383,0.0,0.0,0.0,0.0,0.0,0.0
23,V1_melody,foreground_melody,,72,115061141,METHYLATION_BETA,7.25,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0154,0.0,0.5,0.0154,0.0,0.0,0.0,0.0,0.0,0.0
24,V1_melody,foreground_melody,,80,151785100,METHYLATION_BETA,7.75,1.0,70,10,73,-0.12,viola,10,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.7573,0.0,0.5,0.7573,0.0,0.0,0.0,0.0,0.0,0.0
25,V2_counterpoint,derived_counterpoint,23,72,115061141,METHYLATION_BETA,7.75,0.75,70,10,48,0.25,violin,10,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0154,0.0,0.5,0.0154,0.0,0.0,0.0,0.0,0.0,0.0
26,V1_melody,foreground_melody,,88,154914052,METHYLATION_BETA,8.75,0.75,63,3,63,-0.12,viola,3,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.1916,0.0,0.5,0.1916,0.0,0.0,0.0,0.0,0.0,0.0
27,V2_counterpoint,derived_counterpoint,26,88,154914052,METHYLATION_BETA,9.25,1.0,67,7,51,0.25,violin,7,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.1916,0.0,0.5,0.1916,0.0,0.0,0.0,0.0,0.0,0.0
28,V1_melody,foreground_melody,,96,177465818,METHYLATION_BETA,9.5,0.75,63,3,64,-0.12,viola,3,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.24,0.0,0.5,0.24,0.0,0.0,0.0,0.0,0.0,0.0
29,V1_melody,foreground_melody,,104,206151645,METHYLATION_BETA,10.25,0.75,65,5,67,-0.12,viola,5,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.3967,0.0,0.5,0.3967,0.0,0.0,0.0,0.0,0.0,0.0
30,V2_counterpoint,derived_counterpoint,29,104,206151645,METHYLATION_BETA,10.75,1.0,74,2,55,0.25,violin,2,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.3967,0.0,0.5,0.3967,0.0,0.0,0.0,0.0,0.0,0.0
31,V1_melody,foreground_melody,,112,224196104,METHYLATION_BETA,11.0,0.75,67,7,68,-0.12,viola,7,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.4536,0.0,0.5,0.4536,0.0,0.0,0.0,0.0,0.0,0.0
32,V1_melody,foreground_melody,,120,15998211,METHYLATION_BETA,11.75,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0487,0.0,0.5,0.0487,0.0,0.0,0.0,0.0,0.0,0.0
33,V1_melody,foreground_melody,,128,37237885,METHYLATION_BETA,12.25,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0121,0.0,0.5,0.0121,0.0,0.0,0.0,0.0,0.0,0.0
34,V2_counterpoint,derived_counterpoint,32,120,15998211,METHYLATION_BETA,12.25,0.75,77,5,48,0.25,violin,5,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0487,0.0,0.5,0.0487,0.0,0.0,0.0,0.0,0.0,0.0
35,V3_bass,structural_bass,33,128,37237885,METHYLATION_BETA,12.25,6.5,50,2,44,-0.18,cello,2,,,retained,序列/样本分组边界→持续低音；组值决定主音或属音,,False,0.9,normal,,52,,,,0.72,0.15,0.3,0.0121,0.0,0.5,0.0121,0.0,0.0,0.0,0.0,0.0,0.0
36,V4_horn_harmony,structural_harmony,33,128,37237885,METHYLATION_BETA,12.25,13.25,55,7,38,-0.42,french_horn,7,,,retained,结构/功能区块→圆号持续和声；接触度→音区张力,,False,0.9,normal,,37,,,,0.72,0.15,0.3,0.0121,0.0,0.5,0.0121,0.0,0.0,0.0,0.0,0.0,0.0
37,V5_viola_harmony,inner_harmony,33,128,37237885,METHYLATION_BETA,12.25,13.25,65,5,33,0.42,viola,5,,,retained,与圆号区块同步的中声部；理化特征控制三度色彩与音区,,False,0.9,normal,,90,,,,0.72,0.15,0.3,0.0121,0.0,0.5,0.0121,0.0,0.0,0.0,0.0,0.0,0.0
38,V1_melody,foreground_melody,,136,73973146,METHYLATION_BETA,12.75,1.25,60,0,77,-0.12,viola,0,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.9879,0.0,0.5,0.9879,0.0,0.0,0.0,0.0,0.0,0.0
39,V6_harp_accents,structural_accent,38,136,73973146,METHYLATION_BETA,12.75,0.25,72,0,72,0.08,orchestral_harp,0,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,69,,,,0.72,0.15,0.3,0.9879,0.0,0.5,0.9879,0.0,0.0,0.0,0.0,0.0,0.0
40,V6_harp_accents,structural_accent,38,136,73973146,METHYLATION_BETA,13.0,0.25,75,3,67,0.26,orchestral_harp,3,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,80,,,,0.72,0.15,0.3,0.9879,0.0,0.5,0.9879,0.0,0.0,0.0,0.0,0.0,0.0
41,V2_counterpoint,derived_counterpoint,38,136,73973146,METHYLATION_BETA,13.25,1.5,75,3,65,0.25,violin,3,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.9879,0.0,0.5,0.9879,0.0,0.0,0.0,0.0,0.0,0.0
42,V6_harp_accents,structural_accent,38,136,73973146,METHYLATION_BETA,13.25,0.25,79,7,62,0.44,orchestral_harp,7,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,91,,,,0.72,0.15,0.3,0.9879,0.0,0.5,0.9879,0.0,0.0,0.0,0.0,0.0,0.0
43,V1_melody,foreground_melody,,144,97696243,METHYLATION_BETA,14.0,1.25,70,10,75,-0.12,viola,10,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.8513,0.0,0.5,0.8513,0.0,0.0,0.0,0.0,0.0,0.0
44,V1_melody,foreground_melody,,152,121266034,METHYLATION_BETA,15.25,1.25,70,10,76,-0.12,viola,10,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.9111,0.0,0.5,0.9111,0.0,0.0,0.0,0.0,0.0,0.0
45,V2_counterpoint,derived_counterpoint,44,152,121266034,METHYLATION_BETA,15.75,1.5,62,2,64,0.25,violin,2,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.9111,0.0,0.5,0.9111,0.0,0.0,0.0,0.0,0.0,0.0
46,V1_melody,foreground_melody,,160,169927239,METHYLATION_BETA,16.5,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0234,0.0,0.5,0.0234,0.0,0.0,0.0,0.0,0.0,0.0
47,V1_melody,foreground_melody,,168,192768041,METHYLATION_BETA,17.0,0.5,63,3,61,-0.12,viola,3,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.1007,0.0,0.5,0.1007,0.0,0.0,0.0,0.0,0.0,0.0
48,V1_melody,foreground_melody,,176,202948645,METHYLATION_BETA,17.5,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0286,0.0,0.5,0.0286,0.0,0.0,0.0,0.0,0.0,0.0
49,V2_counterpoint,derived_counterpoint,47,168,192768041,METHYLATION_BETA,17.5,0.75,72,0,49,0.25,violin,0,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.1007,0.0,0.5,0.1007,0.0,0.0,0.0,0.0,0.0,0.0
50,V1_melody,foreground_melody,,184,216009265,METHYLATION_BETA,18.0,0.5,63,3,62,-0.12,viola,3,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.1311,0.0,0.5,0.1311,0.0,0.0,0.0,0.0,0.0,0.0
51,V2_counterpoint,derived_counterpoint,50,184,216009265,METHYLATION_BETA,18.5,0.75,72,0,50,0.25,violin,0,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.1311,0.0,0.5,0.1311,0.0,0.0,0.0,0.0,0.0,0.0
52,V1_melody,foreground_melody,,192,219990337,METHYLATION_BETA,18.75,1.25,60,0,76,-0.12,viola,0,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.9393,0.0,0.5,0.9393,0.0,0.0,0.0,0.0,0.0,0.0
53,V3_bass,structural_bass,52,192,219990337,METHYLATION_BETA,18.75,6.75,45,9,60,-0.18,cello,9,,,retained,序列/样本分组边界→持续低音；组值决定主音或属音,,False,0.9,normal,,52,,,,0.72,0.15,0.3,0.9393,0.0,0.5,0.9393,0.0,0.0,0.0,0.0,0.0,0.0
54,V6_harp_accents,structural_accent,52,192,219990337,METHYLATION_BETA,18.75,0.25,72,0,71,0.08,orchestral_harp,0,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,69,,,,0.72,0.15,0.3,0.9393,0.0,0.5,0.9393,0.0,0.0,0.0,0.0,0.0,0.0
55,V6_harp_accents,structural_accent,52,192,219990337,METHYLATION_BETA,19.0,0.25,75,3,66,0.26,orchestral_harp,3,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,80,,,,0.72,0.15,0.3,0.9393,0.0,0.5,0.9393,0.0,0.0,0.0,0.0,0.0,0.0
56,V6_harp_accents,structural_accent,52,192,219990337,METHYLATION_BETA,19.25,0.25,79,7,61,0.44,orchestral_harp,7,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,91,,,,0.72,0.15,0.3,0.9393,0.0,0.5,0.9393,0.0,0.0,0.0,0.0,0.0,0.0
57,V1_melody,foreground_melody,,200,234254572,METHYLATION_BETA,20.0,1.25,60,0,78,-0.12,viola,0,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,V6_harp_accents,structural_accent,57,200,234254572,METHYLATION_BETA,20.0,0.25,72,0,73,0.08,orchestral_harp,0,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,69,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,V6_harp_accents,structural_accent,57,200,234254572,METHYLATION_BETA,20.25,0.25,75,3,68,0.26,orchestral_harp,3,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,80,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,V2_counterpoint,derived_counterpoint,57,200,234254572,METHYLATION_BETA,20.5,1.5,69,9,66,0.25,violin,9,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,V6_harp_accents,structural_accent,57,200,234254572,METHYLATION_BETA,20.5,0.25,79,7,63,0.44,orchestral_harp,7,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,91,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,V1_melody,foreground_melody,,208,12303666,METHYLATION_BETA,21.25,1.0,69,9,73,-0.12,viola,9,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.7453,0.0,0.5,0.7453,0.0,0.0,0.0,0.0,0.0,0.0
63,V1_melody,foreground_melody,,216,38470138,METHYLATION_BETA,22.25,0.5,63,3,61,-0.12,viola,3,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.098,0.0,0.5,0.098,0.0,0.0,0.0,0.0,0.0,0.0
64,V1_melody,foreground_melody,,224,46894070,METHYLATION_BETA,22.75,1.25,60,0,77,-0.12,viola,0,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.9822,0.0,0.5,0.9822,0.0,0.0,0.0,0.0,0.0,0.0
65,V2_counterpoint,derived_counterpoint,63,216,38470138,METHYLATION_BETA,22.75,0.75,67,7,49,0.25,violin,7,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.098,0.0,0.5,0.098,0.0,0.0,0.0,0.0,0.0,0.0
66,V6_harp_accents,structural_accent,64,224,46894070,METHYLATION_BETA,22.75,0.25,72,0,72,0.08,orchestral_harp,0,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,69,,,,0.72,0.15,0.3,0.9822,0.0,0.5,0.9822,0.0,0.0,0.0,0.0,0.0,0.0
67,V6_harp_accents,structural_accent,64,224,46894070,METHYLATION_BETA,23.0,0.25,75,3,67,0.26,orchestral_harp,3,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,80,,,,0.72,0.15,0.3,0.9822,0.0,0.5,0.9822,0.0,0.0,0.0,0.0,0.0,0.0
68,V6_harp_accents,structural_accent,64,224,46894070,METHYLATION_BETA,23.25,0.25,79,7,62,0.44,orchestral_harp,7,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,91,,,,0.72,0.15,0.3,0.9822,0.0,0.5,0.9822,0.0,0.0,0.0,0.0,0.0,0.0
69,V1_melody,foreground_melody,,232,50168185,METHYLATION_BETA,24.0,0.5,63,3,62,-0.12,viola,3,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.1399,0.0,0.5,0.1399,0.0,0.0,0.0,0.0,0.0,0.0
70,V1_melody,foreground_melody,,240,53855776,METHYLATION_BETA,24.5,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0334,0.0,0.5,0.0334,0.0,0.0,0.0,0.0,0.0,0.0
71,V2_counterpoint,derived_counterpoint,69,232,50168185,METHYLATION_BETA,24.5,0.75,72,0,50,0.25,violin,0,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.1399,0.0,0.5,0.1399,0.0,0.0,0.0,0.0,0.0,0.0
72,V1_melody,foreground_melody,,248,71917292,METHYLATION_BETA,25.0,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0115,0.0,0.5,0.0115,0.0,0.0,0.0,0.0,0.0,0.0
73,V1_melody,foreground_melody,,256,135452769,METHYLATION_BETA,25.5,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0262,0.0,0.5,0.0262,0.0,0.0,0.0,0.0,0.0,0.0
74,V2_counterpoint,derived_counterpoint,72,248,71917292,METHYLATION_BETA,25.5,0.75,77,5,48,0.25,violin,5,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0115,0.0,0.5,0.0115,0.0,0.0,0.0,0.0,0.0,0.0
75,V3_bass,structural_bass,73,256,135452769,METHYLATION_BETA,25.5,5.75,50,2,44,-0.18,cello,2,,,retained,序列/样本分组边界→持续低音；组值决定主音或属音,,False,0.9,normal,,52,,,,0.72,0.15,0.3,0.0262,0.0,0.5,0.0262,0.0,0.0,0.0,0.0,0.0,0.0
76,V4_horn_harmony,structural_harmony,73,256,135452769,METHYLATION_BETA,25.5,12.25,62,2,38,-0.42,french_horn,2,,,retained,结构/功能区块→圆号持续和声；接触度→音区张力,,False,0.9,normal,,37,,,,0.72,0.15,0.3,0.0262,0.0,0.5,0.0262,0.0,0.0,0.0,0.0,0.0,0.0
77,V5_viola_harmony,inner_harmony,73,256,135452769,METHYLATION_BETA,25.5,12.25,67,7,33,0.42,viola,7,,,retained,与圆号区块同步的中声部；理化特征控制三度色彩与音区,,False,0.9,normal,,90,,,,0.72,0.15,0.3,0.0262,0.0,0.5,0.0262,0.0,0.0,0.0,0.0,0.0,0.0
78,V1_melody,foreground_melody,,264,150286987,METHYLATION_BETA,26.0,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0332,0.0,0.5,0.0332,0.0,0.0,0.0,0.0,0.0,0.0
79,V1_melody,foreground_melody,,272,159933026,METHYLATION_BETA,26.5,1.25,70,10,75,-0.12,viola,10,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.8858,0.0,0.5,0.8858,0.0,0.0,0.0,0.0,0.0,0.0
80,V2_counterpoint,derived_counterpoint,78,264,150286987,METHYLATION_BETA,26.5,0.75,70,10,48,0.25,violin,10,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0332,0.0,0.5,0.0332,0.0,0.0,0.0,0.0,0.0,0.0
81,V1_melody,foreground_melody,,280,182911870,METHYLATION_BETA,27.75,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0315,0.0,0.5,0.0315,0.0,0.0,0.0,0.0,0.0,0.0
