^SAMPLE = GSM484237
!Sample_title = small intestine_10003
!Sample_geo_accession = GSM484237
!Sample_status = Public on Dec 12 2009
!Sample_submission_date = Dec 11 2009
!Sample_last_update_date = Apr 13 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = small Intestine
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: small Intestine
!Sample_characteristics_ch1 = pathogenicity: normal
!Sample_characteristics_ch1 = gender: male
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA from fresh frozen tissue was isolated with QIAamp DNA mini kit (Qiagen, Valencia, CA).
!Sample_label_ch1 = Cy3,Cy5
!Sample_label_protocol_ch1 = DNA was sodium bisulfite modified using the EZ DNA Methylation Kit (Zymo Research, Orange, CA).
!Sample_hyb_protocol = Illumina GoldenGate® methylation bead arrays interrogated 1505 CpG loci associated with 803 cancer-related genes processed at the UCSF Institute for Human Genetics, Genomics Core Facility as described in Bibikova et al. High-throughput DNA methylation profiling using universal bead arrays. Genome research 2006;16:383-93.
!Sample_hyb_protocol = Bisulfite-converted DNAs are biotinylated and hybridized to query oligos, and washed. The hybridized oligos are then extended and ligated to create amplifiable templates with methylation-specific primers. The PCR that follows uses fluorescently labeled universal PCR primers.
!Sample_scan_protocol = Arrays were imaged using a BeadArray Reader scanner (Bibikova et al. High-throughput DNA methylation profiling using universal bead arrays. Genome research 2006;16:383-93).
!Sample_description = DNA (bisulfite modified).
!Sample_description = 10003_Small Intestine
!Sample_data_processing = Illumina BeadStudio Methylation software (version 3.2.0) was used for dataset assembly. Fluorescent signals for methylated (Cy5) and unmethylated (Cy3) alleles give methylation level: (β) = (max(Cy5 , 0))/(|Cy3| + |Cy5| + 100) with ~30 replicate bead measurements per locus. Detection P-values determined poor performing samples (n=2) and CpG loci (n=8), which were removed from analysis. X chromosome loci were also removed, leaving 1413 CpG loci associated with 773 genes. Raw average beta values were used and not subjected to normalization as per manufacturer's recommendations.
!Sample_platform_id = GPL9183
!Sample_contact_name = Brock,Clarke,Christensen
!Sample_contact_email = brock.clarke.christensen@dartmouth.edu
!Sample_contact_institute = Dartmouth Medical School
!Sample_contact_address = 7650 Remsen
!Sample_contact_city = Hanover
!Sample_contact_state = NH
!Sample_contact_zip/postal_code = 03755
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE19434
!Sample_data_row_count = 1413
#ID_REF = 
#VALUE = raw average beta values (continuous and bounded by 0 & 1)
!sample_table_begin
ID_REF	VALUE
CCND3_P435_F	0.10218
CCNE1_P683_F	0.11883
CCR5_P630_R	0.66336
CD1A_P414_R	0.96196
CD1A_P6_F	0.92703
CD2_P68_F	0.79493
CD34_E20_R	0.3415
CD34_P339_R	0.39605
CD34_P780_R	0.36819
CD40_E58_R	0.04646
CD40_P372_R	0.12912
CD44_E26_F	0.03015
CD44_P87_F	0.0888
CD81_P211_F	0.228
CD81_P272_R	0.61661
CD82_P557_R	0.11999
CD86_P3_F	0.69215
CD9_E14_R	0.05694
CD9_P504_F	0.09339
CD9_P585_R	0.31353
CDC25B_E83_F	0.06276
CDC25B_P11_R	0.03232
CDH1_P45_F	0.18451
CDH1_P52_R	0.11956
CDH11_E102_R	0.0472
CDH11_P203_R	0.02452
CDH11_P354_R	0.20893
CDH13_E102_F	0.06029
CDH13_P88_F	0.1251
CDH17_E31_F	0.92523
CDH17_P376_F	0.94205
CDH17_P532_F	0.96397
CDH3_E100_R	0.14069
CDH3_P87_R	0.03214
CDK10_E74_F	0.11774
CDK10_P199_R	0.29663
CDK2_P330_R	0.07399
CDK6_E256_F	0.14215
CDK6_P291_R	0.03177
CDKN1A_E101_F	0.05747
CDKN1A_P242_F	0.03039
CDKN1B_P1161_F	0.02804
CDKN1C_P6_R	0.18127
CDKN1C_P626_F	0.10424
CDKN2A_E121_R	0.08688
CDKN2B_E220_F	0.05911
CDKN2B_seq_50_S294_F	0.03397
CEACAM1_E57_R	0.11913
CEACAM1_P44_R	0.65296
CEBPA_P1163_R	0.09207
CEBPA_P706_F	0.05208
CFTR_P115_F	0.04444
CFTR_P372_R	0.40448
CHD2_P451_F	0.94505
CHD2_P667_F	0.91509
CHFR_P501_F	0.19749
CHFR_P635_R	0.04635
CHGA_E52_F	0.13579
CHGA_P243_F	0.43625
CHI3L2_E10_F	0.83577
CHI3L2_P226_F	0.8924
CLDN4_P1120_R	0.89328
CLK1_P538_F	0.25479
COL18A1_P365_R	0.05922
COL18A1_P494_R	0.3319
COL1A1_P117_R	0.24192
COL1A1_P5_F	0.26647
COL1A2_E299_F	0.14219
COL1A2_P407_R	0.54512
COL1A2_P48_R	0.09713
COL4A3_E205_R	0.02346
COL4A3_P545_F	0.03713
COL6A1_P283_F	0.02307
COL6A1_P425_F	0.23219
COMT_E401_F	0.26194
COPG2_P298_F	0.03517
CPA4_E20_F	0.67805
CPA4_P1265_R	0.94045
CPA4_P961_R	0.85148
CPNE1_P138_F	0.10966
CREB1_P819_F	0.07403
CREBBP_P712_R	0.88611
CRIP1_P274_F	0.53403
CRIP1_P874_R	0.09716
CRK_P721_F	0.27899
CSF1_P217_F	0.06064
CSF1_P339_F	0.02295
CSF1R_E26_F	0.85704
CSF1R_P73_F	0.54519
CSF2_E248_R	0.95146
CSF2_P605_F	0.89905
CSF3_E242_R	0.88964
CSF3_P309_R	0.64426
CSF3R_P472_F	0.74572
CSF3R_P8_F	0.43636
CSK_P740_R	0.2535
CSPG2_E38_F	0.11428
CSPG2_P82_R	0.08736
CSTB_E410_F	0.05457
CTGF_E156_F	0.0339
CTGF_P693_R	0.92641
CTLA4_E176_R	0.94269
CTLA4_P1128_F	0.92718
CTNNA1_P185_R	0.05374
CTNNA1_P382_R	0.06979
CTNNB1_P757_F	0.12583
CTSD_P726_F	0.73639
CTSH_E157_R	0.04729
CTSH_P238_F	0.05891
CTSL_P264_R	0.26573
CTSL_P81_F	0.03826
CTTN_E29_R	0.09659
CXCL9_E268_R	0.91623
CYP1A1_P382_F	0.02655
CYP1B1_E83_R	0.28288
CYP1B1_P212_F	0.36938
CYP2E1_E53_R	0.88521
CYP2E1_P416_F	0.95232
DAB2_P35_F	0.03108
DAB2_P468_F	0.02201
DAB2IP_E18_R	0.14411
DAB2IP_P9_F	0.05137
DAPK1_E46_R	0.21367
DAPK1_P10_F	0.07198
DAPK1_P345_R	0.03697
DBC1_E204_F	0.10171
DBC1_P351_R	0.02275
DCC_E53_R	0.22965
DCC_P177_F	0.07876
DCC_P471_R	0.07466
DCN_P1320_R	0.95153
DDB2_P407_F	0.16122
DDB2_P613_R	0.10602
DDIT3_P1313_R	0.40169
DDR1_E23_R	0.10023
DDR1_P332_R	0.75861
DDR2_E331_F	0.91023
DDR2_P743_R	0.84691
DES_E228_R	0.08132
DES_P1006_R	0.90385
DHCR24_P406_R	0.04481
DHCR24_P652_R	0.64327
DIO3_E230_R	0.7491
DIO3_P674_F	0.04285
DIO3_P90_F	0.30462
DIRAS3_E55_R	0.91665
DIRAS3_P745_F	0.83713
DKFZP564O0823_E45_F	0.0333
DLC1_E276_F	0.6154
DLC1_P695_F	0.78114
DLC1_P88_R	0.60443
DLK1_E227_R	0.06222
DLL1_P386_F	0.03409
DLL1_P832_F	0.21965
DMP1_E194_F	0.93965
DMP1_P134_F	0.90532
DNAJC15_E26_R	0.05648
DNAJC15_P65_F	0.91467
DNMT1_P100_R	0.13175
DNMT2_P199_F	0.85005
DNMT3B_P352_R	0.19849
DSC2_E90_F	0.28379
DSC2_P407_R	0.94855
DSG1_E292_F	0.92145
DSG1_P159_R	0.92172
DSP_P36_F	0.21239
DSP_P440_R	0.06771
DST_E31_F	0.05552
DST_P262_R	0.07396
DUSP4_E61_F	0.16604
DUSP4_P925_R	0.02817
E2F3_P840_R	0.05969
E2F5_P516_R	0.73438
EDN1_E50_R	0.02649
EDN1_P39_R	0.03767
EDNRB_P148_R	0.95251
EDNRB_P709_R	0.96493
EFNA1_P591_R	0.03058
EFNA1_P7_F	0.03645
EFNB3_E17_R	0.55699
EFNB3_P442_R	0.15582
EGF_E339_F	0.94141
EGF_P242_R	0.85698
EGF_P413_F	0.90134
EGFR_E295_R	0.03006
EGFR_P260_R	0.10321
EGR4_E70_F	0.44931
EGR4_P479_F	0.04875
EIF2AK2_E103_R	0.10952
EIF2AK2_P313_F	0.03605
ELK3_P514_F	0.08753
ELL_P693_F	0.45991
EMR3_E61_F	0.51987
EMR3_P1297_R	0.90296
EMR3_P39_R	0.83114
ENC1_P484_R	0.07138
EPHA1_E46_R	0.11342
EPHA1_P119_R	0.10568
EPHA2_P203_F	0.50669
EPHA2_P340_R	0.45457
EPHA3_E156_R	0.07341
EPHA3_P106_R	0.05
EPHA5_E158_R	0.05996
EPHA5_P66_F	0.40766
EPHA7_E6_F	0.05706
EPHA7_P205_R	0.07531
EPHA8_P256_F	0.26451
EPHA8_P456_R	0.85385
EPHB1_E202_R	0.84391
EPHB1_P503_F	0.12329
EPHB2_E297_F	0.04661
EPHB2_P165_R	0.21863
EPHB3_E0_F	0.1008
EPHB3_P569_R	0.10064
EPHB4_E476_R	0.58436
EPHB4_P313_R	0.08409
EPHB6_E342_F	0.0747
EPHB6_P827_R	0.03313
EPHX1_E152_F	0.83553
EPHX1_P1358_R	0.88164
EPHX1_P22_F	0.92309
EPM2A_P113_F	0.1379
EPM2A_P64_R	0.03172
EPO_E244_R	0.11
EPO_P162_R	0.49308
EPS8_E231_F	0.27352
EPS8_P437_F	0.11649
ER_seq_a1_S60_F	0.38539
ERBB2_P59_R	0.01991
ERBB3_E331_F	0.10931
ERBB3_P870_R	0.03685
ERBB4_P255_F	0.02962
ERBB4_P541_F	0.02512
ERCC1_P354_F	0.02928
ERCC1_P440_R	0.06312
ERCC3_P1210_R	0.90002
ERCC6_P698_R	0.55071
ERG_E28_F	0.09568
ERN1_P809_R	0.54703
ESR1_E298_R	0.24616
ESR1_P151_R	0.17238
ESR2_E66_F	0.05768
ESR2_P162_F	0.20224
ETS1_E253_R	0.26019
ETS1_P559_R	0.03181
ETS2_P684_F	0.04656
ETS2_P835_F	0.12256
ETV1_P235_F	0.04179
ETV1_P515_F	0.08642
ETV6_E430_F	0.06732
EVI1_E47_R	0.12484
EVI1_P30_R	0.0758
EVI2A_E420_F	0.90697
EVI2A_P94_R	0.86698
EXT1_E197_F	0.09496
EYA4_E277_F	0.04934
EYA4_P508_F	0.13981
EYA4_P794_F	0.4718
F2R_P839_F	0.61263
F2R_P88_F	0.17258
FABP3_E113_F	0.12147
FABP3_P598_F	0.08791
FANCA_P1006_R	0.88575
FANCE_P356_R	0.08313
FANCF_P13_F	0.02828
FANCG_E207_R	0.13043
FAS_P322_R	0.0566
FAS_P65_F	0.06191
FASTK_P257_F	0.1109
FASTK_P598_R	0.75848
FAT_P279_R	0.13799
FAT_P973_R	0.05726
FER_E119_F	0.44635
FER_P581_F	0.78098
FES_E34_R	0.13003
FES_P223_R	0.04322
FGF1_E5_F	0.89272
FGF1_P357_R	0.88579
FGF12_E61_R	0.13343
FGF12_P210_R	0.04748
FGF2_P229_F	0.15185
FGF3_E198_R	0.02178
FGF3_P171_R	0.09222
FGF5_E16_F	0.15108
FGF5_P238_R	0.02323
FGF6_E294_F	0.94363
FGF6_P139_R	0.92908
FGF7_P44_F	0.88609
FGF7_P610_F	0.92222
FGF8_E183_F	0.04789
FGF8_P473_F	0.04695
FGF9_P1404_F	0.2165
FGF9_P862_R	0.28048
FGFR1_E317_F	0.118
FGFR1_P204_F	0.1157
FGFR2_P266_R	0.04256
FGFR2_P460_R	0.4917
FGFR3_E297_R	0.03414
FGFR3_P1152_R	0.51545
FGFR4_P610_F	0.89902
FGR_P39_F	0.9576
FHIT_E19_R	0.03337
FHIT_P93_R	0.03229
FLI1_E29_F	0.14581
FLI1_P620_R	0.18272
FLJ20712_P984_R	0.80862
FLT1_E444_F	0.02837
FLT1_P302_F	0.03605
FLT1_P615_R	0.04189
FLT3_E326_R	0.07439
FLT3_P302_F	0.05594
FLT4_E206_F	0.13628
FLT4_P180_R	0.07526
FN1_E469_F	0.04357
FN1_P229_R	0.14745
FOLR1_E368_R	0.93914
FOSL2_E384_R	0.96571
FRK_P258_F	0.84848
FRK_P36_F	0.81413
FRZB_E186_R	0.08216
FRZB_P406_F	0.04799
FVT1_P225_F	0.08574
FYN_P352_R	0.03784
FZD7_E296_F	0.03388
FZD9_E458_F	0.20236
FZD9_P15_R	0.05872
FZD9_P175_F	0.35307
GABRA5_E44_R	0.8133
GABRA5_P1016_F	0.93427
GABRA5_P862_R	0.91998
GABRB3_E42_F	0.06405
GABRB3_P92_F	0.16872
GABRG3_E123_R	0.93859
GABRG3_P75_F	0.86282
GADD45A_P737_R	0.45887
GALR1_E52_F	0.0632
GALR1_P80_F	0.07907
GAS1_E22_F	0.0443
GAS1_P754_R	0.03865
GAS7_E148_F	0.0544
GAS7_P622_R	0.23084
GATA6_P21_R	0.08234
GATA6_P726_F	0.05388
GDF10_E39_F	0.27666
GDF10_P95_R	0.15508
GFAP_P1214_F	0.89239
GFAP_P56_R	0.84288
GFI1_E136_F	0.11149
GFI1_P208_R	0.57506
GFI1_P45_R	0.07222
GJB2_E43_F	0.03257
GJB2_P791_R	0.13664
GJB2_P931_R	0.47011
GLI2_E90_F	0.95653
GLI2_P295_F	0.87742
GLI3_E148_R	0.92809
GLI3_P453_R	0.19418
GML_E144_F	0.33256
GML_P281_R	0.9438
GNAS_E58_F	0.90518
GNAS_P86_F	0.73324
GNG7_E310_R	0.96223
GNG7_P903_F	0.89678
GNMT_E126_F	0.08282
GNMT_P197_F	0.138
GP1BB_E23_F	0.45756
GP1BB_P278_R	0.54946
GPATC3_P410_R	0.78468
GPR116_E328_R	0.96335
GPR116_P850_F	0.92959
GPX1_E46_R	0.0294
GPX1_P194_F	0.14858
GPX3_E178_F	0.18769
GRB10_E85_R	0.12069
GRB10_P260_F	0.03253
GRB10_P496_R	0.2423
GRB7_E71_R	0.11402
GRB7_P160_R	0.37261
GSTM1_P266_F	0.48073
GSTM1_P363_F	0.85038
GSTM2_E153_F	0.16032
GSTM2_P109_R	0.0362
GSTM2_P453_R	0.61243
GSTP1_E322_R	0.03661
GSTP1_P74_F	0.07987
GSTP1_seq_38_S153_R	0.0387
GUCY2D_E419_R	0.03487
GUCY2D_P48_R	0.31956
H19_P1411_R	0.86957
H19_P541_F	0.24318
HBEGF_P32_R	0.05253
HBII-13_E48_F	0.92227
HBII-13_P991_R	0.86802
HBII-52_E142_F	0.73598
HBII-52_P563_F	0.87708
HBII-52_P659_F	0.94012
HCK_P46_R	0.10189
HCK_P858_F	0.32972
HDAC1_P414_R	0.68566
HDAC11_P556_F	0.03356
HDAC5_E298_F	0.42374
HDAC7A_P344_F	0.9162
HDAC9_E38_F	0.08113
HDAC9_P137_R	0.12799
HFE_E273_R	0.02483
HGF_E102_R	0.07003
HGF_P1293_R	0.96201
HHIP_E94_F	0.13425
HHIP_P307_R	0.07538
HHIP_P578_R	0.15944
HIC1_E151_F	0.0291
HIC1_P565_R	0.06002
HIC-1_seq_48_S103_R	0.69861
HIC2_P498_F	0.03135
HIC2_P528_R	0.0371
HIF1A_P488_F	0.04604
HLA-DOA_P191_R	0.82208
HLA-DOA_P594_F	0.77586
HLA-DOB_E432_R	0.92489
HLA-DOB_P1114_R	0.94972
HLA-DOB_P357_R	0.9588
HLA-DPA1_E35_R	0.89375
HLA-DPA1_P205_R	0.43574
HLA-DPA1_P28_R	0.3196
HLA-DPB1_E2_R	0.43891
HLA-DPB1_P540_F	0.96714
HLA-DQA2_E93_F	0.64391
HLA-DQA2_P282_R	0.82387
HLA-DRA_P132_R	0.05996
HLA-DRA_P77_R	0.1935
HLA-F_E402_F	0.01963
HLF_E192_F	0.02964
HOXA11_E35_F	0.09783
HOXA11_P698_F	0.2671
HOXA11_P92_R	0.11676
HOXA5_E187_F	0.86543
HOXA5_P1324_F	0.36989
HOXA5_P479_F	0.90396
HOXA9_E252_R	0.1396
HOXA9_P1141_R	0.08974
HOXA9_P303_F	0.11274
HOXB13_E21_F	0.15861
HOXB13_P17_R	0.21514
HOXB2_P488_R	0.76058
HOXB2_P99_F	0.3464
HOXC6_P456_R	0.10013
HOXC6_P585_R	0.18043
HPN_P374_R	0.37904
HPN_P823_F	0.82015
HPSE_P29_F	0.09232
HPSE_P93_F	0.10129
HRASLS_E72_R	0.05275
HRASLS_P353_R	0.61472
HS3ST2_E145_R	0.08316
HS3ST2_P171_F	0.11002
HS3ST2_P546_F	0.20452
HSD17B12_E145_R	0.04777
HSD17B12_P97_F	0.04816
HSPA2_P162_R	0.93333
HTR1B_E232_R	0.19662
HTR1B_P107_F	0.48984
HTR1B_P222_F	0.04034
HTR2A_E10_R	0.87324
HTR2A_P853_F	0.06112
IAPP_E280_F	0.95348
ICA1_P61_F	0.03142
ICA1_P72_R	0.07952
ICAM1_E242_F	0.14412
ICAM1_P119_R	0.10425
ICAM1_P386_R	0.12239
ID1_P659_R	0.04426
ID1_P880_F	0.26655
IFNG_E293_F	0.84864
IFNG_P188_F	0.93139
IFNG_P459_R	0.90293
IFNGR1_P307_F	0.04998
IFNGR2_E164_F	0.11076
IFNGR2_P377_R	0.31818
IGF1_E394_F	0.66025
IGF1_P933_F	0.34796
IGF1R_E186_R	0.02475
IGF1R_P325_R	0.03914
IGF2_E134_R	0.03546
IGF2_P1036_R	0.06703
IGF2_P36_R	0.13854
IGF2AS_E4_F	0.3745
IGF2AS_P203_F	0.30135
IGF2R_P396_R	0.13957
IGFBP1_E48_R	0.67935
IGFBP1_P12_R	0.67305
IGFBP2_P306_F	0.0426
IGFBP2_P353_R	0.10017
IGFBP3_E65_R	0.03546
IGFBP3_P1035_F	0.03306
IGFBP3_P423_R	0.03835
IGFBP5_E144_F	0.08512
IGFBP5_P9_R	0.03331
IGFBP6_E47_F	0.37776
IGFBP6_P328_R	0.09757
IGFBP7_P297_F	0.37146
IGFBP7_P371_F	0.02852
IGSF4_P454_F	0.02506
IGSF4_P86_R	0.13324
IGSF4C_E65_F	0.74082
IGSF4C_P533_R	0.08454
IHH_E186_F	0.0621
IHH_P246_R	0.14115
IHH_P529_F	0.06065
IL10_P348_F	0.93006
IL10_P85_F	0.73153
IL11_P11_R	0.05962
IL12A_E287_R	0.03244
IL12B_E25_F	0.91759
IL12B_P1453_F	0.80464
IL12B_P392_R	0.78373
IL13_E75_R	0.95141
IL16_P93_R	0.68855
IL17RB_E164_R	0.05604
IL17RB_P788_R	0.02738
IL18BP_E285_F	0.83206
IL18BP_P51_R	0.50768
IL1A_E113_R	0.96464
IL1B_P582_R	0.91332
IL1B_P829_F	0.61257
IL1RN_E42_F	0.91392
IL1RN_P93_R	0.7492
IL2_P607_R	0.88978
IL3_P556_F	0.95942
IL4_P262_R	0.87771
IL6_E168_F	0.17262
IL6_P213_R	0.12412
IL6_P611_F	0.07971
IL8_E118_R	0.41782
IL8_P83_F	0.74333
IMPACT_P186_F	0.10502
IMPACT_P234_R	0.03332
INHA_P1144_R	0.09651
INHA_P1189_F	0.09519
INS_P248_F	0.90776
INS_P804_R	0.9508
INSR_E97_F	0.15853
INSR_P1063_R	0.3514
IPF1_P234_F	0.27659
IPF1_P750_F	0.24614
IRAK3_E130_F	0.03987
IRAK3_P13_F	0.06466
IRAK3_P185_F	0.41921
IRF5_E101_F	0.12667
IRF5_P123_F	0.08923
IRF7_E236_R	0.29865
IRF7_P277_R	0.03512
ISL1_E87_R	0.19771
ISL1_P379_F	0.07982
ISL1_P554_F	0.0917
ITGA2_E120_F	0.06911
ITGA2_P26_R	0.06332
ITGA6_P298_R	0.35361
ITGA6_P718_R	0.95729
ITGB1_P451_F	0.19737
ITGB4_E144_F	0.05869
ITGB4_P517_F	0.21388
ITK_E166_R	0.96838
ITK_P114_F	0.94321
ITPR2_P804_F	0.09158
ITPR3_E86_R	0.02497
ITPR3_P1112_F	0.0227
JAG1_P66_F	0.10379
JAG2_E54_F	0.03898
JAG2_P264_F	0.03513
JAK2_P772_R	0.06684
JAK3_E64_F	0.12631
JAK3_P1075_R	0.83241
JAK3_P156_R	0.10693
JUNB_P1149_R	0.09975
KCNK4_E3_F	0.30593
KCNK4_P171_R	0.54942
KCNQ1_E349_R	0.11679
KCNQ1_P546_R	0.23559
KDR_E79_F	0.03917
KDR_P445_R	0.04315
KIAA0125_E29_F	0.93157
KIAA1804_P689_R	0.10261
KIT_P367_R	0.10779
KIT_P405_F	0.10623
KLF5_E190_R	0.10318
KLF5_P13_F	0.05889
KLK10_P268_R	0.13642
KLK11_P103_R	0.84469
